"","lnBMR","lnMass","lnMass2","lnGS","endo"
"Ornithorhynchus_anatinus",6.33020297036308,6.5410299991899,42.7850734503022,1.11841491596429,1
"Tachyglossus_aculeatus",6.98006947148018,8.04667089324604,64.748912464213,1.06125650212434,1
"Zaglossus_bruijni",7.93081892285852,9.23989917421773,85.3757367497095,NA,1
"Cyclopes_didactylus",5.72989326664574,5.48063892334199,30.0374030080512,NA,1
"Myrmecophaga_tridactyla",8.82045589308327,10.3287552879405,106.683185798159,1.46325540225602,1
"Tamandua_mexicana",7.81193750284693,8.28828304520769,68.6956358374773,NA,1
"Tamandua_tetradactyla",7.82693565460944,8.1605182474775,66.5940580674132,1.41342302850814,1
"Choloepus_hoffmanni",7.49331339389919,8.23483028044206,67.8124297476854,NA,1
"Bradypus_variegatus",7.52035909724785,8.24012129807647,67.8995990070134,1.44220199305819,1
"Priodontes_maximus",9.04870572113203,10.7186311024053,114.88905270945,1.49738840862548,1
"Tolypeutes_matacus",6.33641016778164,7.05617528410041,49.7896096399495,NA,1
"Cabassous_centralis",7.85402662427834,8.37332282099653,70.1125350646213,1.38128181929635,1
"Euphractus_sexcinctus",8.19680475817316,9.01066917684711,81.1921590145826,1.42551507427317,1
"Zaedyus_pichiy",7.12311140912614,7.46164039220858,55.6760773426386,1.43746264769429,1
"Chaetophractus_vellerosus",6.81582545824684,7.01211529430638,49.1697609006454,1.49514876603197,1
"Chaetophractus_villosus",7.83621487699457,8.42068229103539,70.907890246557,1.43031124653666,1
"Chaetophractus_nationi",7.49637377345767,7.67322312112171,58.8783530665168,NA,1
"Dasypus_novemcinctus",7.86126233794565,8.16337131645991,66.6406312504004,1.68824909285839,1
"Procavia_capensis",8.13682103869008,7.80708856739837,60.9506318992023,1.40118297361364,1
"Heterohyrax_brucei",7.83519055744074,7.60090245954208,57.7737181994728,NA,1
"Orycteropus_afer",9.82151558181264,10.77895628989,116.185898699359,1.76900248210544,1
"Geogale_aurita",2.87284050006748,1.93152141160321,3.73077496348166,NA,1
"Microgale_cowani",4.45410340090976,2.50143595173921,6.25718182065345,NA,1
"Microgale_dobsoni",4.86785129750777,3.79773385902602,14.4227824639927,NA,1
"Microgale_talazaci",4.60212970122203,3.78418963391826,14.3200911854544,NA,1
"Tenrec_ecaudatus",5.86201512336417,6.47697236288968,41.9511709896367,NA,1
"Setifer_setosus",5.73423516644245,6.27287700654617,39.3489859392556,1.61541998411165,1
"Chrysochloris_asiatica",4.99971099021588,3.78418963391826,14.3200911854544,1.84371920815877,1
"Macroscelides_proboscideus",5.17867809394343,3.66356164612965,13.4216839349922,NA,1
"Elephantulus_brachyrhynchus",5.0902910359155,3.81330703248899,14.54131052403,NA,1
"Elephantulus_myurus",5.46161953669113,4.14265842250065,17.1616188055156,NA,1
"Elephantulus_rufescens",5.33929875577479,3.97029191355212,15.7632178788174,NA,1
"Elephantulus_rozeti",5.14859307010813,3.81352775867905,14.5429939662157,NA,1
"Elephantulus_intufi",5.24268414798007,3.83923723570249,14.7397425520045,NA,1
"Elephantulus_edwardii",5.31799189427308,3.91202300542815,15.3039239949991,1.78842056796254,1
"Petrodromus_tetradactylus",6.50301146240434,5.32841000685521,28.3919532011547,NA,1
"Cynopterus_brachyotis",5.10242935106256,3.62167070442049,13.1164986912576,NA,1
"Macroglossus_minimus",4.13807629070551,2.76631910922619,7.65252141406998,0.693147180559945,1
"Syconycteris_australis",4.28307086357736,2.76631910922619,7.65252141406998,NA,1
"Dobsonia_moluccensis",7.17086346895417,6.00215717664673,36.0258907731718,0.802001585472027,1
"Dobsonia_minor",5.55115558186101,4.30000279919529,18.4900240730873,NA,1
"Dobsonia_praedatrix",6.24370567893336,5.19017520792833,26.9379186889939,NA,1
"Eonycteris_spelaea",4.93333965789396,3.94352167248752,15.5513631813788,0.802001585472027,1
"Rousettus_amplexicaudatus",5.88897100202869,4.51633897228148,20.3973177125485,0.828551817566148,1
"Pteropus_poliocephalus",7.00028590671884,6.39359075395063,40.878002729003,0.841567185678219,1
"Pteropus_hypomelanus",6.85478208723314,6.25536609089436,39.129604931111,0.845868267577609,1
"Pteropus_pumilus",6.05261645579533,5.26888855585722,27.7611866140432,0.841567185678219,1
"Pteropus_rodricensis",6.14623340323567,5.53930083599058,30.6838537516059,0.802001585472027,1
"Pteropus_vampyrus",7.95988431954303,6.93176473144249,48.04936229207,0.86288995514704,1
"Pteropus_giganteus",6.92823115299547,6.33185765847243,40.092421407156,0.78845736036427,1
"Pteropus_scapulatus",6.76843111453384,5.89164421182577,34.7114715187401,NA,1
"Melonycteris_melanops",4.8952689873595,3.9759363311718,15.8080697095319,NA,1
"Nyctimene_albiventer",4.50575664422668,3.4307561839037,11.7700879933935,NA,1
"Nyctimene_major",4.00502803224771,2.61006979274201,6.81246432298432,NA,1
"Nyctimene_cyclotis",5.37423418083738,3.6988297849671,13.6813417781598,NA,1
